Date,Download,Upload,Name,Country,Sponsor,Latency
07/11/2021 18:25:27,4.78,0.52,Babahoyo,Ecuador,Nedetel,168.967,
07/11/2021 18:26:46,2.42,0.58,Guayaquil,Ecuador,Nedetel,149.545,
07/11/2021 18:28:32,2.33,1.01,Guayaquil,Ecuador,Rimtel,146.459,
07/11/2021 18:29:18,4.61,0.55,Guayaquil,Ecuador,Highnet,153.292,
07/11/2021 18:30:07,3.65,0.81,Guayaquil,Ecuador,Highnet,150.787,
07/11/2021 19:00:54,4.96,0.33,Daule,Ecuador,DVNET,177.264,
07/11/2021 19:02:12,3.8,0.32,Daule,Ecuador,Red Nueva Conexion,162.784,
07/11/2021 19:03:31,2.32,0.29,Portoviejo,Ecuador,Conredsat S.A.,169.435,
07/11/2021 19:04:49,4.58,0.29,Daule,Ecuador,Conredsat S.A.,166.126,
07/11/2021 19:05:58,3.42,0.3,Portoviejo,Ecuador,FibraTeleCoM,172.46,
07/11/2021 19:37:10,6.56,1.02,Daule,Ecuador,Conredsat S.A.,156.141,
07/11/2021 19:38:06,2.25,0.64,Daule,Ecuador,Conredsat S.A.,153.267,
07/11/2021 19:38:56,3.46,0.85,Daule,Ecuador,Conredsat S.A.,161.83,
07/11/2021 19:39:45,5.38,0.66,Daule,Ecuador,Conredsat S.A.,170.268,
07/11/2021 19:40:41,2.55,0.83,Daule,Ecuador,Red Nueva Conexion,180.356,
07/11/2021 20:11:43,1.48,0.71,Daule,Ecuador,DVNET,227.966,
07/11/2021 20:13:09,1.68,0.47,Portoviejo,Ecuador,FibraTeleCoM,171.9,
07/11/2021 20:14:14,1.53,0.57,Portoviejo,Ecuador,Red Nueva Conexion,154.001,
07/11/2021 20:15:12,1.24,0.64,Guayaquil,Ecuador,Conredsat S.A.,165.875,
07/11/2021 20:16:19,2.21,0.75,Daule,Ecuador,Conredsat S.A.,174.3,
08/11/2021 09:23:22,15.12,0.49,Portoviejo,Ecuador,Conredsat S.A.,156.315,
08/11/2021 09:24:23,12.93,0.4,Portoviejo,Ecuador,DCNET,155.463,
08/11/2021 09:25:21,11.77,0.58,Portoviejo,Ecuador,DCNET,156.707,
08/11/2021 09:26:13,15.83,0.67,Portoviejo,Ecuador,DCNET,157.565,
08/11/2021 09:27:03,10.45,0.44,Sucre,Ecuador,DCNET,157.253,
